,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside,W,D,L,Result
0,1,0.2400000000000002,5,1,5,-2,2,-32.199999999999996,-293,-14,-280,-274,1,0,-6,0,17,4,10,6,-6,4,4,0,6,7,0,1,15,2,-2,5,3,1,0,0,W
1,1,0.4299999999999997,4,0,3,0,1,-2.200000000000003,-8,0,-34,-27,0,12,15,-12,0,-8,-30,2,-2,-5,-17,-12,8,-12,1,2,9,2,0,-8,1,1,0,0,W
2,0,-0.15000000000000036,-8,-2,-2,0,-6,-19.599999999999994,-166,-8,-164,-164,-8,-1,0,1,-7,-3,-12,11,-11,4,5,1,3,2,-3,-5,-30,-5,-1,6,2,0,1,0,D
3,2,0.8799999999999999,10,0,5,4,1,-2.799999999999997,-49,-4,-26,-38,9,3,1,-3,9,9,36,23,-23,15,12,-3,21,-6,4,6,63,-13,1,6,-1,1,0,0,W
4,-2,-0.4899999999999993,19,0,3,10,6,29.599999999999994,265,18,254,251,14,-4,-15,4,27,-4,-8,4,-4,22,26,4,21,-12,-6,-1,5,-11,0,-1,-1,0,0,1,L
5,0,-0.35000000000000053,7,0,3,3,1,24.799999999999997,206,14,213,228,4,-2,8,2,-32,8,36,-8,8,-15,-13,2,-32,-2,-1,0,-11,5,-1,8,-3,0,1,0,D
6,0,0.1900000000000004,5,0,3,0,2,24.599999999999994,303,8,290,289,2,9,6,-9,29,-3,-6,3,-3,1,-8,-9,22,-9,-3,-1,8,2,-1,-5,2,0,1,0,D
7,2,0.6200000000000001,-1,-1,1,0,-2,-19.0,-138,-7,-152,-141,0,-4,-2,4,-20,-1,-2,3,-3,0,4,4,-11,27,0,0,43,-2,1,-9,4,1,0,0,W
8,1,0.41999999999999993,16,0,7,5,4,1.4000000000000057,51,4,16,31,12,3,-1,-3,15,-6,-22,-2,2,3,0,-3,9,-2,-5,-2,42,1,0,-8,1,1,0,0,W
9,-1,-0.5899999999999999,4,-1,-3,3,4,39.0,334,19,321,325,5,-5,-1,5,-19,-2,-6,-8,8,-5,0,5,-17,-28,-5,4,53,1,1,3,-3,0,0,1,L
10,0,0.29000000000000004,13,-1,-1,7,7,9.599999999999994,105,4,65,71,10,7,1,-7,38,3,10,12,-12,10,3,-7,29,-13,5,5,-23,-4,1,-6,2,0,1,0,D
11,4,1.33,2,0,-1,5,-2,28.199999999999996,293,11,283,287,1,1,5,-1,-25,5,14,-11,11,-4,-5,-1,-5,-2,-4,1,50,0,0,8,1,1,0,0,W
12,1,0.35000000000000053,5,0,3,0,2,-11.599999999999994,-105,-7,-111,-117,0,4,1,-4,21,-3,-12,3,-3,5,1,-4,15,1,4,6,-12,-2,0,3,0,1,0,0,W
13,1,0.40000000000000036,4,0,2,0,2,-19.799999999999997,-213,-10,-196,-194,2,0,-3,0,8,-1,-2,25,-25,15,15,0,19,-15,1,5,33,-12,-1,5,2,1,0,0,W
14,0,0.0,3,-1,1,1,1,22.200000000000003,215,9,224,222,4,1,4,-1,-5,8,22,-6,6,-8,-9,-1,-7,-4,-5,0,50,5,0,-3,-5,0,1,0,D
15,2,0.23999999999999932,-2,0,3,-4,-1,-40.0,-372,-22,-339,-345,-4,-19,-26,19,-17,0,0,20,-20,22,41,19,-14,2,0,-4,-40,-15,0,5,-1,1,0,0,W
16,-2,-0.7700000000000005,8,0,2,4,2,-13.0,-131,-9,-117,-119,6,-2,-9,2,19,1,2,11,-11,5,7,2,2,-15,4,-1,67,2,1,4,0,0,0,1,L
17,-3,-1.0700000000000003,-18,0,-9,-6,-3,-47.599999999999994,-550,-24,-547,-561,-15,-6,-6,6,-16,1,4,-3,3,2,8,6,-13,30,8,-2,33,-2,0,-1,4,0,0,1,L
18,2,0.7599999999999998,-1,0,3,-1,-3,-7.0,-57,-5,-55,-67,-3,-7,-8,7,-12,8,24,8,-8,3,10,7,-17,0,5,-4,-10,-2,0,-1,1,1,0,0,W
