,Team,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside
0,Liverpool,2.42,6.99,16.5,0.2,6.3,6.4,3.6,58.5,773.0,83.7,612.9,513.6,12.7,11.0,18.6,8.8,59.1,18.0,54.5,8.0,10.0,16.1,25.0,8.8,64.4,17.0,9.5,5.7,48.1,7.9,15.7,9.1,1.3
1,Leicster,2.36,7.09,15.0,0.1,5.4,7.2,2.3,55.4,736.0,82.6,529.1,436.9,11.2,11.1,20.1,11.1,55.2,16.8,50.4,5.0,11.8,20.6,31.8,11.1,64.7,20.3,11.6,6.1,42.1,8.6,13.5,10.6,1.7
2,Manchester City,2.81,7.08,19.5,0.6,6.9,7.8,4.2,61.2,831.0,88.9,658.2,584.1,15.3,13.5,19.9,9.1,60.2,17.0,51.2,4.0,13.0,21.3,31.1,9.1,67.3,15.0,8.1,7.3,46.1,9.7,10.1,8.7,1.2
3,Chelsea,2.21,6.89,17.4,0.1,6.3,6.8,4.2,56.8,745.0,85.2,581.0,495.1,13.4,14.9,22.3,9.7,66.8,18.5,53.6,8.0,10.5,17.0,26.5,9.7,64.1,15.8,11.5,4.5,47.5,12.1,12.1,9.4,1.1
4,Manchester Utd,1.57,6.77,13.8,0.3,5.0,5.7,2.8,53.8,670.0,82.8,509.2,424.1,10.0,11.5,20.5,10.1,56.7,14.6,52.7,4.6,10.0,14.7,24.1,11.5,60.7,16.5,9.3,5.0,42.2,10.2,14.8,10.2,1.6
5,Wolverhamton,1.39,6.78,12.2,0.1,4.3,4.3,3.5,48.7,624.0,79.5,445.0,354.2,9.3,12.2,19.9,11.4,61.3,19.6,51.1,5.3,14.3,12.8,25.7,12.5,49.7,18.1,10.1,4.2,43.2,8.8,13.1,10.1,1.2
6,Tottenham,2.18,6.84,12.7,0.2,5.5,3.4,3.6,53.0,731.0,83.4,518.0,431.2,10.3,12.0,20.7,10.4,59.7,15.9,54.2,5.9,10.0,16.9,27.2,10.3,57.3,18.0,9.4,5.2,44.2,11.4,13.9,9.7,1.5
7,Sheffield Utd,1.52,6.75,10.4,0.1,3.6,3.7,3.0,45.5,607.0,75.4,397.3,304.2,8.0,9.1,14.8,18.1,61.2,23.8,48.2,6.8,17.0,16.9,28.5,14.8,60.1,26.9,12.3,3.7,41.1,9.1,14.3,11.2,1.3
8,Arsenal,1.89,6.8,13.2,0.2,4.7,3.9,4.2,55.2,715.0,83.9,502.3,423.1,10.0,13.3,21.1,10.7,61.2,13.7,52.5,6.7,7.0,17.4,27.2,13.7,65.1,17.2,8.7,4.1,47.1,10.7,16.9,10.5,1.4
9,Crystal palace,1.0,6.69,9.4,0.0,3.2,3.2,3.0,45.1,569.0,76.3,368.5,271.4,6.5,10.8,16.8,12.1,64.2,20.1,48.7,4.6,15.5,17.3,26.3,12.1,65.7,22.5,11.6,4.2,44.1,12.6,15.3,11.7,1.2
